"name","ring","quadrant","isNew","description",
"Dummy Tools","Advanced","Tools","true","Dummy tools",
"Xamarin Forms","Trial","Languages & frameworks","true","<p>See <a href='https://docs.microsoft.com/en-us/xamarin/xamarin-forms/'>Xamarin.Forms documentation</a><p>A cross platform mobile framework. Work in C# and deploy to Android IOS and UWP. Strongly encouraged to work in MVVM.</p><p>Being able to apply C# knowledge to mobile is a compelling aspect of this framework.</p>",
"Flutter","Assess","Languages & frameworks","true","<p>See <a href='https://flutter.dev/'>Flutter</a></p><p>A cross platform mobile and web framework using Dart. Friends have had great success with this framework on their projects. Wide range of components available and great community backing.</p>",
"Elm","Basic","Languages & frameworks","true","<p>See <a href='https://elm-lang.org/'>Elm</a><p>A language dedicated to building web applications using MVU. Wonderful error handling no runtime exceptions. Concerned about lack of drop in components.</p>",
"Dummy Platform","Assess","Platforms","true","Dummy platform",
"Dummy Techniques","Hold","Techniques","true","Dummy techniques",
